country,startIP,endIP,startIpNum,endIpNum
BR,131.0.148.0,131.0.151.255,2197853184,2197854207
BR,131.0.152.0,131.0.155.255,2197854208,2197855231
BR,131.0.156.0,131.0.159.255,2197855232,2197856255
BR,131.0.160.0,131.0.163.255,2197856256,2197857279
BR,131.0.164.0,131.0.167.255,2197857280,2197858303
CO,131.0.168.0,131.0.171.255,2197858304,2197859327
CL,131.0.172.0,131.0.175.255,2197859328,2197860351
BR,131.0.176.0,131.0.179.255,2197860352,2197861375
BR,131.0.180.0,131.0.183.255,2197861376,2197862399
BR,131.0.184.0,131.0.187.255,2197862400,2197863423
BR,131.0.188.0,131.0.191.255,2197863424,2197864447
BR,131.0.192.0,131.0.195.255,2197864448,2197865471
AR,131.0.196.0,131.0.199.255,2197865472,2197866495
BR,131.0.200.0,131.0.203.255,2197866496,2197867519
BR,131.0.204.0,131.0.207.255,2197867520,2197868543
BR,131.0.208.0,131.0.211.255,2197868544,2197869567
UY,131.0.212.0,131.0.215.255,2197869568,2197870591
BR,131.0.216.0,131.0.219.255,2197870592,2197871615
BR,131.0.220.0,131.0.223.255,2197871616,2197872639
BR,131.0.224.0,131.0.227.255,2197872640,2197873663
BR,131.0.228.0,131.0.231.255,2197873664,2197874687
AR,131.0.232.0,131.0.235.255,2197874688,2197875711
MX,131.0.236.0,131.0.239.255,2197875712,2197876735
BR,131.0.240.0,131.0.243.255,2197876736,2197877759
BR,131.0.244.0,131.0.247.255,2197877760,2197878783
BR,131.0.248.0,131.0.251.255,2197878784,2197879807
BR,131.0.252.0,131.0.255.255,2197879808,2197880831
AR,131.72.0.0,131.72.3.255,2202533888,2202534911
BR,131.72.4.0,131.72.7.255,2202534912,2202535935
BR,131.72.8.0,131.72.11.255,2202535936,2202536959
BR,131.72.12.0,131.72.15.255,2202536960,2202537983
BR,131.72.16.0,131.72.19.255,2202537984,2202539007
BR,131.72.20.0,131.72.23.255,2202539008,2202540031
PY,131.72.24.0,131.72.27.255,2202540032,2202541055
AR,131.72.28.0,131.72.31.255,2202541056,2202542079
BR,131.72.32.0,131.72.35.255,2202542080,2202543103
BR,131.72.36.0,131.72.39.255,2202543104,2202544127
